image_ID,pose,lighting,mask,subject_name,MST
subject_17_PXL_20220922_185827818.jpg,frontal,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185825103.jpg,bottom,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185822260.jpg,side,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185819102.jpg,side,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185814512.jpg,side,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185812471.jpg,facing_camera,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185804157.jpg,facing_camera,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185800557.jpg,side,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185757301.jpg,side,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185754281.jpg,facing_camera,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185705214.jpg,facing_camera,well_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185703775.jpg,bottom,well_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185702103.jpg,side,well_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185700581.jpg,side,well_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185659098.jpg,facing_camera,well_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185657391.jpg,facing_camera,well_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185655701.jpg,bottom,well_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185654282.jpg,side,well_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185652542.jpg,side,well_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185651168.jpg,side,well_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185514681.jpg,frontal,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185512817.jpg,bottom,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185510279.jpg,side,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185507420.jpg,side,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185505997.jpg,side,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185504598.jpg,facing_camera,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185456930.jpg,facing_camera,poorly_lit,0,subject_17,DEEP
subject_17_PXL_20220922_185442196.jpg,facing_camera,poorly_lit,0,subject_17,DEEP
